Image,Method,Num_Features,Mean_Response
cameraman,Harris,4199,7208000.101899262
cameraman,SIFT,791,0.0317975031518096
cameraman,FAST,2888,33.78462603878116
room,Harris,8740,2295465.2486770595
room,SIFT,846,0.03240052328596935
room,FAST,1137,42.32102022867194
rubik,Harris,3120,5513072.098417468
rubik,SIFT,724,0.03239710532380937
rubik,FAST,706,40.304532577903686
